Αἰθήρ || Aether || The god of the upper air and light.
Ἀνάγκη || Ananke || The goddess of inevitability, compulsion and necessity.
Ἔρεβος || Erebus || The god of darkness and shadow.
Γαῖα || Gaia || Personification of the Earth (Mother Earth); mother of the Titan (mythology)|Titans.
Ἡμέρα || Hemera || Goddess of daylight and the sun.
Χάος || Chaos || The nothingness from which all else sprang
Χρόνος || Chronos || The Keeper of Time. Not to be confused with the Titan (mythology)|Titan Cronus, the father of Zeus. 
Nῆσοι || The Nesoi || The goddesses of the islands. 
Νύξ || Nyx || The goddess of night.
Οὐρανός || Uranus || The god of the heavens (Father Sky); father of the Titans.
Οὔρεα || The Ourea || The gods of mountains.
Φάνης || Phanes || The god of procreation in the Orphics|Orphic tradition.
Πόντος || Pontus || The god of the sea, father of the fish and other sea creatures.
Τάρταρος || Tartarus || The darkest, deepest part of the underworld.
Θάλασσα || Thalassa || Spirit of the sea and consort of Pontos.
Ὑπερίων || Hyperion || Titan of light. With Theia, he is the father of Helios (the sun), Selene (the moon) and Eos (the dawn).
Ἰαπετός || Iapetus || Titan of mortality and father of Prometheus, Epimetheus (mythology)|Epimetheus and Atlas (mythology)|Atlas.
Κοῖος || Coeus || Titan of intellect and the axis of heaven around which the constellations revolved.
Κρεῖος || Crius || The least individualized of the Twelve Titans, he is the father of Astraeus|Astraios, Pallas (son of Crius)|Pallas and Perses (Titan)|Perses.
Κρόνος || Cronus || The leader of the Titans, who overthrew his father Uranus only to be overthrown in turn by his son, Zeus. Not to be confused with Chronos, the god of time.
Mνημοσύνη || Mnemosyne || Titan of memory and remembrance, and mother of the Muse|Nine Muses.
Ὠκεανός || Oceanus || Titan of the all-encircling river Oceanus around the earth, the font of all the Earth's fresh-water.
Φοίβη || Phoebe || Titan of the "bright" intellect and prophecy, and consort of Koios.
Ῥέα || Rhea || Titan of female fertility, motherhood, and generation. She is the sister and consort of Cronus, and mother of Zeus, Hades, Poseidon, Hera, Demeter and Hestia.
Τηθύς || Tethys || Wife of Oceanus, and the mother of the rivers, springs, streams, fountains and clouds.
Θεία || Theia || Titan of sight and the shining light of the clear blue sky. She is the consort of Hyperion, and mother of Helios, Selene and Eos.
Θέμις || Themis || Titan of divine law and order.
Ἀστερία || Asteria || Titan of nocturnal oracles and falling stars.
Ἀστραῖος || Astraeus || Titan of stars and planets, and the art of astrology.
Ἄτλας || Atlas || Titan forced to carry the sky upon his shoulders. Also Son of Iapetus.
Αὔρα || Aura || Titan of the breeze and the fresh, cool air of early morning.
Διώνη || Dione ||Titan of the oracle of Dodona.
Ἠώς || Eos || Titan of the dawn.
Ἐπιμηθεύς || Epimetheus || Titan of afterthought and the father of excuses.
Εὐρυβία || Eurybia || Titan of the mastery of the seas and consort of Krios.
Εὐρυνόμη || Eurynome || Titan of water-meadows and pasturelands, and mother of the three Charites by Zeus.
Ἥλιος || Helios || Titan of the sun and guardian of oaths.
Κλυμένη || Asia || Titan of renown, fame and infamy, and wife of Iapetos.
Ληλαντος || Lelantos || Titan of air and the hunter's skill of stalking prey. He is the male counterpart of Leto.
Λητώ || Leto || Titan of motherhood and mother of Artemis and Apollo.
Μενοίτιος || Menoetius || Titan of violent anger, rash action, and human mortality. Killed by Zeus.
Μῆτις (Mē̂tis) || Metis || Titan of good counsel, advice, planning, cunning, craftiness and wisdom, and mother of Athena.
Ὀφίων || Ophion || An elder Titan, in some versions of the myth he ruled the Earth with his consort Eurynome before Cronus overthrew him.
Πάλλας || Pallas || Titan of warcraft. He was killed by Athena during the Titanomachy.
Πέρσης || Perses || Titan of destruction.
Προμηθεύς || Prometheus || Titan of forethought and crafty counsel, and creator of mankind.
Σελήνη || Selene || Titan of the moon.
Στύξ || Styx || Titan of the Underworld river Styx and personification of hatred.
